source,destination,mode,distance,time_of_day,weather,traffic_level,travel_time
D,A,rail,44,0,sunny,high,47.14
A,D,air,40,12,foggy,low,6.67
B,E,air,39,12,rainy,high,6.96
D,E,air,38,18,rainy,low,4.75
D,A,road,29,18,sunny,low,43.5
C,A,air,11,18,sunny,high,1.57
E,A,road,21,18,foggy,high,75.0
D,B,rail,28,18,sunny,low,21.0
C,D,road,43,0,rainy,high,115.18
A,B,rail,49,0,sunny,medium,40.83
D,A,rail,18,6,rainy,high,24.11
E,B,air,12,18,sunny,medium,1.33
D,C,road,46,6,sunny,high,98.57
A,C,road,19,6,foggy,medium,52.78
A,D,air,31,12,foggy,medium,5.74
A,E,air,20,12,foggy,medium,3.7
C,A,rail,5,6,rainy,high,6.7
C,A,air,36,18,sunny,medium,4.0
B,D,rail,40,6,foggy,high,71.43
C,E,air,24,18,foggy,low,4.0
C,D,rail,36,18,sunny,medium,30.0
C,E,air,9,12,sunny,medium,1.0
D,C,road,46,12,sunny,high,98.57
C,B,air,23,6,rainy,low,2.88
E,D,air,26,18,rainy,low,3.25
B,E,air,40,0,sunny,high,5.71
A,C,road,35,18,rainy,medium,72.92
D,A,air,21,6,sunny,low,2.1
D,B,road,39,0,foggy,high,139.29
E,D,road,11,0,sunny,low,16.5
E,A,rail,11,0,foggy,high,19.64
C,B,air,8,12,rainy,medium,1.11
E,B,road,22,0,rainy,low,41.25
B,E,rail,35,0,rainy,medium,36.46
B,E,road,30,18,foggy,low,75.0
A,C,rail,6,6,foggy,high,10.71
A,D,rail,48,12,foggy,high,85.71
C,A,road,11,18,foggy,low,27.5
B,D,rail,36,18,foggy,high,64.29
A,B,road,22,12,rainy,low,41.25
D,C,air,46,6,rainy,medium,6.39
B,A,road,49,0,sunny,high,105.0
E,B,road,29,0,rainy,low,54.38
B,C,air,11,18,rainy,low,1.38
E,C,road,16,18,sunny,low,24.0
D,A,rail,20,12,sunny,high,21.43
C,D,air,36,0,sunny,high,5.14
E,C,road,20,0,rainy,low,37.5
D,E,road,31,12,rainy,medium,64.58
B,A,rail,9,18,foggy,medium,12.5
D,E,air,25,6,foggy,low,4.17
C,E,rail,16,0,sunny,low,12.0
D,A,rail,13,0,foggy,high,23.21
C,A,air,41,12,sunny,low,4.1
E,B,road,35,12,sunny,medium,58.33
D,A,air,27,12,rainy,high,4.82
D,A,rail,41,12,sunny,low,30.75
B,D,air,49,18,foggy,low,8.17
E,C,air,33,12,sunny,high,4.71
D,B,rail,9,0,rainy,high,12.05
D,C,rail,19,0,foggy,high,33.93
A,B,rail,18,18,sunny,medium,15.0
E,D,air,8,12,rainy,medium,1.11
E,C,rail,21,0,sunny,medium,17.5
C,B,air,26,18,rainy,medium,3.61
E,B,rail,6,18,foggy,low,7.5
C,E,rail,18,0,sunny,low,13.5
D,B,air,23,18,rainy,medium,3.19
D,E,rail,5,6,rainy,high,6.7
E,D,rail,13,18,foggy,medium,18.06
C,B,road,36,18,foggy,low,90.0
C,D,air,13,18,rainy,high,2.32
D,C,rail,24,6,foggy,low,30.0
B,A,rail,15,18,sunny,medium,12.5
D,A,rail,12,12,rainy,high,16.07
B,E,air,42,0,sunny,low,4.2
C,B,air,22,6,foggy,low,3.67
C,B,rail,47,6,foggy,medium,65.28
A,C,rail,9,0,sunny,low,6.75
E,B,road,16,0,rainy,medium,33.33
C,A,road,30,0,sunny,high,64.29
E,D,road,11,12,sunny,medium,18.33
D,A,road,22,18,sunny,high,47.14
D,E,road,22,0,sunny,high,47.14
D,C,road,41,18,sunny,high,87.86
C,A,rail,18,18,sunny,low,13.5
C,A,road,41,12,sunny,low,61.5
E,A,rail,28,18,rainy,low,26.25
D,C,rail,11,18,rainy,high,14.73
D,E,road,15,6,rainy,low,28.12
D,A,air,32,18,rainy,high,5.71
C,B,road,50,0,rainy,medium,104.17
D,A,air,7,6,foggy,medium,1.3
E,B,air,39,12,rainy,medium,5.42
A,D,air,6,0,foggy,medium,1.11
E,D,air,19,0,sunny,high,2.71
C,E,air,5,18,rainy,low,0.62
C,D,air,41,6,rainy,medium,5.69
C,D,rail,7,6,rainy,low,6.56
D,E,rail,34,6,foggy,high,60.71
A,D,air,14,18,rainy,medium,1.94
B,A,air,38,12,rainy,low,4.75
E,A,rail,27,12,foggy,high,48.21
E,D,air,9,12,foggy,low,1.5
D,E,road,39,12,sunny,high,83.57
A,E,air,27,12,rainy,high,4.82
E,A,air,45,6,foggy,medium,8.33
C,E,air,41,6,rainy,low,5.12
E,A,rail,49,18,foggy,high,87.5
D,C,rail,35,12,foggy,low,43.75
C,E,rail,28,18,foggy,high,50.0
B,A,rail,12,18,foggy,high,21.43
D,A,road,21,12,sunny,medium,35.0
A,E,rail,26,6,rainy,medium,27.08
B,E,air,40,0,foggy,medium,7.41
D,B,air,6,0,sunny,medium,0.67
B,D,road,24,6,foggy,medium,66.67
D,C,rail,8,18,foggy,high,14.29
E,C,air,39,6,sunny,high,5.57
E,C,rail,16,18,sunny,high,17.14
B,E,rail,47,0,foggy,low,58.75
D,B,rail,32,12,rainy,medium,33.33
B,D,road,41,18,sunny,high,87.86
D,C,rail,10,12,sunny,high,10.71
A,B,road,26,18,sunny,high,55.71
D,B,air,18,0,sunny,high,2.57
D,B,rail,35,0,foggy,high,62.5
E,A,road,38,18,foggy,low,95.0
B,C,road,37,12,foggy,high,132.14
D,E,rail,49,18,foggy,medium,68.06
C,A,air,27,18,sunny,medium,3.0
C,E,air,45,0,foggy,high,10.71
B,D,air,35,18,sunny,medium,3.89
C,A,rail,14,0,rainy,low,13.12
A,D,road,32,0,sunny,medium,53.33
E,D,road,25,18,sunny,low,37.5
E,B,air,26,12,foggy,high,6.19
A,B,air,49,18,rainy,high,8.75
C,B,rail,11,18,sunny,medium,9.17
A,C,rail,25,18,rainy,medium,26.04
C,D,road,44,12,rainy,medium,91.67
B,E,air,48,6,rainy,medium,6.67
D,C,road,37,0,rainy,low,69.38
E,C,road,9,6,rainy,medium,18.75
C,B,rail,43,0,rainy,low,40.31
A,D,rail,22,0,sunny,medium,18.33
E,A,rail,22,18,foggy,low,27.5
E,C,air,30,0,rainy,low,3.75
D,E,road,10,0,sunny,high,21.43
A,E,road,43,0,foggy,high,153.57
E,D,road,27,0,rainy,low,50.62
A,E,rail,26,0,rainy,medium,27.08
C,E,road,7,0,foggy,high,25.0
C,A,air,26,18,sunny,low,2.6
D,A,air,5,18,foggy,low,0.83
A,D,road,30,18,rainy,low,56.25
C,B,rail,37,18,foggy,low,46.25
B,E,road,34,0,foggy,high,121.43
A,B,air,44,6,foggy,high,10.48
C,B,road,28,0,foggy,high,100.0
C,A,rail,38,18,sunny,high,40.71
E,D,rail,7,0,rainy,medium,7.29
D,E,rail,43,6,sunny,high,46.07
B,E,road,14,18,sunny,medium,23.33
E,A,road,11,18,rainy,medium,22.92
C,E,road,46,0,rainy,low,86.25
B,A,rail,24,6,foggy,low,30.0
A,C,rail,6,18,sunny,high,6.43
B,E,road,6,6,sunny,high,12.86
D,C,road,33,12,foggy,low,82.5
C,D,air,28,6,sunny,high,4.0
E,C,rail,47,18,foggy,low,58.75
B,D,road,43,0,rainy,low,80.62
E,A,air,35,12,rainy,low,4.38
B,E,rail,43,6,sunny,high,46.07
C,D,road,19,18,rainy,low,35.62
C,A,rail,31,18,foggy,medium,43.06
D,B,road,14,12,sunny,high,30.0
A,E,air,24,0,foggy,medium,4.44
D,B,road,31,6,rainy,medium,64.58
E,A,air,39,18,foggy,high,9.29
C,D,rail,15,0,sunny,low,11.25
E,A,road,7,6,foggy,medium,19.44
C,A,road,6,12,sunny,high,12.86
D,E,road,24,6,rainy,high,64.29
D,E,road,33,6,sunny,high,70.71
D,B,road,6,18,rainy,low,11.25
E,B,air,8,12,foggy,low,1.33
C,E,road,22,12,sunny,low,33.0
D,C,air,28,12,rainy,high,5.0
D,A,road,43,12,foggy,medium,119.44
A,B,road,5,0,rainy,medium,10.42
E,C,road,33,0,rainy,high,88.39
B,A,rail,12,18,foggy,low,15.0
C,A,air,50,6,rainy,low,6.25
B,D,air,16,12,sunny,high,2.29
E,B,rail,34,0,sunny,high,36.43
E,A,road,30,12,rainy,medium,62.5
C,D,road,33,0,sunny,low,49.5
D,C,rail,13,18,sunny,high,13.93
E,B,air,47,6,foggy,high,11.19
A,E,road,28,12,rainy,high,75.0
C,A,air,15,0,sunny,medium,1.67
A,D,air,46,18,foggy,low,7.67
E,D,rail,34,18,foggy,high,60.71
E,A,air,25,0,rainy,low,3.12
A,C,rail,22,12,sunny,low,16.5
D,B,road,19,0,foggy,high,67.86
C,A,air,48,0,foggy,low,8.0
E,A,air,25,6,rainy,low,3.12
C,B,air,33,18,foggy,medium,6.11
C,B,road,30,18,foggy,medium,83.33
A,E,road,20,0,sunny,high,42.86
E,D,rail,34,12,rainy,medium,35.42
E,D,air,35,18,sunny,low,3.5
C,E,air,18,0,sunny,low,1.8
A,E,air,17,6,rainy,high,3.04
E,C,rail,30,12,foggy,medium,41.67
B,A,rail,30,0,sunny,medium,25.0
D,C,air,33,6,rainy,low,4.12
D,E,rail,14,6,sunny,low,10.5
B,E,rail,17,12,rainy,high,22.77
C,B,road,32,0,rainy,high,85.71
C,A,road,38,0,sunny,low,57.0
C,B,road,44,12,foggy,low,110.0
E,D,road,10,6,rainy,medium,20.83
D,B,rail,42,6,rainy,low,39.38
A,B,air,19,12,sunny,low,1.9
E,D,air,21,6,rainy,medium,2.92
E,D,air,46,18,rainy,high,8.21
E,B,air,22,12,sunny,medium,2.44
C,A,rail,44,0,sunny,high,47.14
E,B,road,12,12,sunny,medium,20.0
B,E,air,27,18,foggy,low,4.5
A,C,road,45,6,foggy,high,160.71
C,A,rail,46,12,rainy,high,61.61
A,B,rail,21,6,rainy,medium,21.87
A,D,road,20,18,foggy,high,71.43
B,A,road,33,6,sunny,high,70.71
C,A,road,23,12,sunny,medium,38.33
E,D,air,15,0,foggy,low,2.5
A,B,air,29,6,sunny,high,4.14
C,A,rail,49,12,rainy,high,65.62
A,C,air,12,0,foggy,medium,2.22
B,E,road,33,6,foggy,high,117.86
A,B,road,12,0,sunny,low,18.0
A,C,rail,15,0,foggy,medium,20.83
B,D,rail,22,6,sunny,medium,18.33
B,A,air,12,12,rainy,medium,1.67
B,D,rail,37,0,sunny,low,27.75
D,A,road,44,12,sunny,low,66.0
C,E,air,13,6,foggy,high,3.1
E,D,rail,37,6,foggy,low,46.25
C,E,rail,23,0,foggy,medium,31.94
C,A,air,31,12,rainy,low,3.88
E,C,road,34,12,foggy,medium,94.44
D,A,road,6,18,rainy,low,11.25
E,D,rail,7,0,foggy,high,12.5
C,E,air,36,18,foggy,high,8.57
D,E,air,41,6,rainy,high,7.32
E,C,road,34,18,foggy,low,85.0
D,E,air,44,0,foggy,low,7.33
A,E,air,29,0,sunny,high,4.14
A,E,rail,13,18,sunny,high,13.93
E,B,rail,12,18,foggy,low,15.0
B,C,road,48,0,sunny,medium,80.0
A,C,road,18,12,rainy,medium,37.5
A,D,road,8,18,sunny,high,17.14
D,C,air,13,12,rainy,medium,1.81
A,D,air,6,18,sunny,high,0.86
C,B,road,16,6,rainy,low,30.0
D,C,road,7,6,sunny,medium,11.67
E,C,road,7,6,rainy,medium,14.58
D,C,rail,24,18,sunny,low,18.0
D,E,rail,8,0,rainy,medium,8.33
A,B,rail,38,12,foggy,high,67.86
C,D,air,8,12,rainy,medium,1.11
C,B,rail,22,12,sunny,low,16.5
C,D,air,7,12,sunny,low,0.7
B,E,road,20,18,sunny,high,42.86
C,D,air,36,18,sunny,low,3.6
B,D,road,11,0,foggy,high,39.29
A,E,road,18,0,sunny,high,38.57
A,B,air,15,18,rainy,high,2.68
E,A,air,32,6,sunny,low,3.2
A,B,rail,10,18,sunny,low,7.5
A,D,road,6,0,sunny,medium,10.0
E,D,rail,6,0,foggy,medium,8.33
A,C,road,30,6,foggy,medium,83.33
E,C,air,31,18,rainy,low,3.88
C,B,rail,49,12,foggy,low,61.25
B,A,road,26,0,rainy,medium,54.17
D,B,rail,46,12,foggy,low,57.5
A,B,rail,47,6,rainy,low,44.06
E,A,rail,43,12,foggy,high,76.79
A,B,road,14,0,sunny,high,30.0
E,B,air,40,0,sunny,high,5.71
E,A,rail,45,0,sunny,medium,37.5
B,E,air,41,6,rainy,medium,5.69
C,B,rail,35,12,sunny,low,26.25
C,B,road,20,0,sunny,medium,33.33
D,A,rail,16,12,foggy,medium,22.22
D,C,road,26,0,sunny,medium,43.33
E,D,rail,23,18,rainy,medium,23.96
A,B,rail,10,0,rainy,high,13.39
C,A,rail,13,18,sunny,medium,10.83
E,D,road,13,6,rainy,low,24.38
B,E,rail,19,12,foggy,medium,26.39
A,D,air,35,18,rainy,low,4.38
E,B,rail,36,18,rainy,high,48.21
C,D,rail,6,6,foggy,medium,8.33
E,D,road,5,12,foggy,medium,13.89
A,D,rail,7,12,rainy,medium,7.29
A,D,road,39,6,sunny,high,83.57
E,C,road,26,0,sunny,medium,43.33
B,E,rail,22,12,rainy,medium,22.92
A,D,rail,21,12,sunny,high,22.5
E,A,rail,38,0,rainy,medium,39.58
A,D,rail,49,6,sunny,low,36.75
E,D,road,5,18,foggy,low,12.5
D,B,road,13,6,sunny,low,19.5
A,D,air,47,6,sunny,high,6.71
C,E,rail,9,6,rainy,low,8.44
A,B,air,20,12,sunny,low,2.0
A,B,rail,42,12,sunny,high,45.0
C,D,road,8,6,rainy,low,15.0
